Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Description,Baths,Balcony
SSM Nagar,"3 BHK Flat for sale in Perungalathur, Chennai",₹57.0 L,"Perungalathur, Chennai",1317,4330.0,"Situated at Alapakkam, New Perungalathur. SURROUNDED by well established schools & colleges. Tambaram eastern bypass is very close and surrounded by nature and serene.  More About This Property Looking for a good 3 BHK Apartment in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 4. Maintenance charges of this property is Rs 3108. This Apartment is available for Rs 57.0 L. This modern unit has a built-up area of 1317 Square feet. The carpet area of this Apartment is 86...",3,No
"ARUN EXCELLO ,Padappai, Chennai","2 BHK Flat for sale in Padappai, Chennai",₹25.0 L,"ARUN EXCELLO ,Padappai, Chennai",820,3050.0,"Check out this 2 BHK Apartment for sale in Padappai, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Padappai is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 2. The property's price is Rs 25.0 L. Residents in this property pay Rs 1300 towards maintenance. This property is a modern-day abode, with 820 Square feet built-up area. The unit has 2 bedr...",3,No
Ramcons Dominion,"3 BHK Flat for sale in Nungambakkam, Chennai",₹2.6 Cr,"Tirumurthy Nagar, Nungambakkam,Chennai",1658,15680.0,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Nungambakkam. It is situated on floor 3. The total number of floors in this Apartment is 3. The property price of this unit is Rs 2.8 Cr. Monthly maintenance costs Rs 7500. The built-up area is 1658 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Lady Andal Venkatasubbarao Matriculation School, MCC Matriculation Higher Secondary Sch...",3,Yes
VGN Coasta,"4 BHK Flat for sale in Muttukadu, Chennai",₹2.97 Cr,"Muttukadu, Chennai",4200,7070.0,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Muttukadu. It is situated on floor 5. The total number of floors in this Apartment is 15. The property price of this unit is Rs 2.97 Cr. Monthly maintenance costs Rs 14000. The built-up area is 4200 Square feet. There are 4 bedrooms and 5 bathroom. This property enjoys a good view and is North-facing. This property in Muttukadu, Chennai has lift facility as well. It is a safe premise with cctv facility. Other amenit...",5,Yes
"Ramanathan Nagar, Pozhichalur,Chennai","2 BHK Independent House for sale in Pozhichalur, Chennai",₹1.62 Cr,"Ramanathan Nagar, Pozhichalur,Chennai",2838,5710.0,"2 BHK Independent House for sale in Pozhichalur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Pozhichalur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Pozhichalur. This 2 BHK Independent House is available at a reasonable price of Rs 1.62 Cr. The built-up area is 2838 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Deepam Hos...",4,Yes
CasaGrand Vistaaz,"3 BHK Villa for sale in Kolapakkam - Vandalur, Chennai",₹1.08 Cr,"Kolapakkam - Vandalur, Chennai",1566,6900.0,"Close to Shriram IT Gateway and New Kilambakkam Bus Stand More About This Property Looking for a good 3 BHK Villa in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. This Villa is available for Rs 1.08 Cr. This modern unit has a built-up area of 1566 Square feet. This property has a good view and is South-East-facing. There are 3 bedrooms and 3 bathroom. This is a gated community. Cctv facility is provided to ensure safety. Sports enthusiasts have multiple options such as Gym, Garden, Sports Facility, Swimming Pool, Clubh...",3,No
"penta concept enclave,Thiruverkkadu, Chennai","4 BHK Flat for sale in Thiruverkkadu, Chennai",₹1.0 Cr,"penta concept enclave,Thiruverkkadu, Chennai",2350,4250.0,"There are 5 blocks.
And in the 5th block there are 5 Flats. 
We have custom built 2 apartments in that in the 1st and 2nd floors for our exclusive use !
Both can be used as Duplex, as internal staircase is provided.
Both can be independent also.
All cup boards and kitchen work completed.
Kitchen cum dinning cum hall is one & spacious.
Floor wise Area details: 
There are only 2 Floors.

Built area:




B4: First Floor. 
Built area - 1359 SQFT
B5: Second Floor.
Built area - 991 SQFT
Total built area- 2350 SQFT.

UDS: 

First Floor B4:
UDS 1033 SQFT.
Second Floor B5:
UDS 650 SQFT.

Total UDS     ...",4,Yes
VGN Platina,"2 BHK Flat for sale in Ayappakkam, Chennai",₹40.0 L,"MGR Nagar, Ayappakkam,Chennai",868,4610.0,"Check out this 2 BHK Apartment for sale in Ayappakkam, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Ayappakkam is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 2. The property's price is Rs 40.0 L. Residents in this property pay Rs 1350 towards maintenance. This property is a modern-day abode, with 868 Square feet built-up area. The unit has 2 ...",3,Yes
"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai","2 BHK Flat for sale in Choolaimedu, Chennai",₹89.0 L,"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai",926,9610.0,"Check out this 2 BHK Apartment for sale in Choolaimedu, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Choolaimedu is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 2. The property's price is Rs 89.0 L. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 926 Square feet built-up area. The unit has 2 b...",3,Yes
"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai","2 BHK Flat for sale in Saidapet, Chennai",₹63.0 L,"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai",1090,5780.0,"2 BHK Apartment for sale in Chennai. This property is in Saidapet, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 58.0 L. Monthly maintenance charges come to Rs 1000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1090 Square feet. ...",3,Yes
Shakthi Mangalambikai Apartments,"3 BHK Flat for sale in Perungudi, Chennai",₹90.0 L,"Elim Nagar, Perungudi,Chennai",1307,6880.0,"Posh and spacious 3BHK flat with 3 balconies and one covered parking at the prime location of Perungudi.Well ventilated, ""ready to occupy flat"" with excellent woodwork done in all rooms and kitchen.Just 5 mts walk from ""World Trade Center.""  Walking track and park opposite to building.  All facilities are available nearby.  5 mts walk to bus stop.  Local transport available like auto's.  Vaastu-based flat with clear title. More About This Property 3 BHK Apartment for sale in Perungudi, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. ...",3,Yes
Akshaya January,"1 BHK Flat for sale in Senganmal, Chennai",₹25.0 L,"Senganmal, Chennai",605,4130.0,"1 BHK Apartment for sale in Senganmal, Chennai. This 1 BHK unit is available in Senganmal and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Senganmal. It is on floor 10. The total number of floors is 14. The price of this Apartment is Rs 25.0 L. Residents in this project also pay monthly maintenance charges of Rs 1663. The built-up area is 605 Square feet. There are 1 bedroom and 1 bathroom. The property is East-facing. This property is at a walking dista...",2,Yes
Jamans,"2 BHK Flat for sale in Thirumullaivoyal, Chennai",₹49.5 L,"Vaishnavi Nagar, Thirumullaivoyal,Chennai",967,5120.0,"Looking for a 2 BHK Apartment for sale in Chennai? Your search ends here. Buy this 2 BHK property in Chennai's finest location, Thirumullaivoyal. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 3 floors. This Apartment is available at a reasonable price of Rs 49.5 L. Maintenance charges in this property is Rs 1250. The built up area of this property is 967 Square feet. It is spacious for a family and this property has a carpet area of 865 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as ...",3,Yes
"Live Green,Kattur, Chennai","1 BHK Flat for sale in Kattur, Chennai",₹29.0 L,"Live Green,Kattur, Chennai",586,4950.0,"This property is a PERFECT fusion of Elegance, Quality, Comfort and Budget.
At just 500 meters away from Tambaram-Velachery Main Road
Sembakkam Bus Stop: 450 meters
Camp road: 3 Kms
Tambaram railway Station: 4.5 kms
Medavakkam main junction: 3 kms.
College: New Prince College, SIVET, MCC
School: Sankara Vidyalaya, Alpha matriculation, Kendriya Vidyalaya
Hospitals: Betheesda Health care, COSH Hospital, New Life Hospital, Hindu Mission Hospital
Park: Municipality Children’s park at 400 meters
ATM: SBI ATM at 10 meters.

Very well connected by all main roads, Airport, Railway station, Bus stop ve...",2,No
Sumeru Puthur City,"2 BHK Flat for sale in Selaiyur, Chennai",₹45.0 L,"Tiruvancheri, Selaiyur,Chennai",1038,4330.0,"Looking for a good 2 BHK Apartment in Selaiyur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 2. Maintenance charges of this property is Rs 600. This Apartment is available for Rs 45.0 L. This modern unit has a built-up area of 1038 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Aarthi Hospital, Annai Theresa Hospital, and Sindu Eye Hospital. Established schools, such as Pleasant Valley Middle School, Government Primary Sc...",3,No
Redmond Square,"3 BHK Flat for sale in Sholinganallur, Chennai",₹70.0 L,"Sholinganallur, Chennai",1500,4670.0,"Check out this 3 BHK Apartment for sale in Sholinganallur, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Sholinganallur is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 4. The property's price is Rs 90.0 L. Residents in this property pay Rs 4500 towards maintenance. This property is a modern-day abode, with 1500 Square feet built-up area. The un...",3,No
Ambrosia Apartments,"3 BHK Flat for sale in Semmancheri, Chennai",₹46.0 L,"Semmanjeri, Semmancheri,Chennai",1133,4060.0,"3 BHK Apartment for sale in Chennai. This property is in Kamaraj Nagar, which is a coveted investment location. This tastefully designed 3 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 2. The price of the Apartment is Rs 46.0 L. Monthly maintenance charges come to Rs 1200. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1133 Square f...",3,Yes
"Annamalai Colony, Saligramam,Chennai","2 BHK Flat for sale in Saligramam, Chennai",₹89.5 L,"Annamalai Colony, Saligramam,Chennai",1100,8140.000000000001,"1100 sft well maintained 2 BHK flats with 547 sft UDS, woodwork, marble floor, covered car park,very close to main road with metro,hospitals and malls, property is on 30’ road,with 24 hours water facility,etc More About This Property One of the finest property in Saligramam is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 2 storeyed building. The price of this Apartment is Rs 95.0 L. Other charges when you move into this property include maintenance, which is Rs 500. This Apartment is spacious with a built-up area of 11...",3,Yes
"Vn Nattrunai ,Thirumullaivoyal, Chennai","3 BHK Flat for sale in Thirumullaivoyal, Chennai",₹45.0 L,"Vn Nattrunai ,Thirumullaivoyal, Chennai",1024,4390.0,"Check out this 3 BHK Apartment for sale in Thirumullaivoyal, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Thirumullaivoyal is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 2. The property's price is Rs 45.0 L. This property is a modern-day abode, with 1024 Square feet built-up area. The unit has 3 bedrooms and 2 bathroom. Educational institutio...",3,No
"Krishna Nagar, Sriperumbudur,Chennai","3 BHK Villa for sale in Sriperumbudur, Chennai",₹54.0 L,"Krishna Nagar, Sriperumbudur,Chennai",1508,3580.0,"Brand New, nobody occupied, Maintained well, Vasthu compliant, East facing.,  ready for immediate occupation, Great place for investment, Not far from upcoming new international airport, Thirumaz isai where Vegetable market, Central bus station and metro rail are expected apart from it being selected for smart city More About This Property Check out this 3 BHK Villa for sale in Sriperumbudur, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Villa is perfect for a modern-day lifestyle. Sriperumbudur is a promising location in Chennai and t...",3,Yes
Jones Dawn Villas by Jones Foundations,"3 BHK Villa for sale in Ponmar, Chennai",₹87.0 L,"Ponmar, Chennai",1782,4880.0,"One of the finest property in Moolacheri is now available for sale. This is a 3 BHK Villa posted directly by owner. Make it yours now. The price of this Villa is Rs 1.01 Cr. This Villa is spacious with a built-up area of 1782 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Advent Christian Middle school, Christwood School, and Sri Shanmukha Vidhyalaya School. It is also close to good and reputed hospitals like Sri Isari Velan Mission Hospital",3,Yes
"Swarnambigai Nagar, Virugambakkam,Chennai","5 BHK Independent House for sale in Virugambakkam, Chennai",₹2.5 Cr,"Swarnambigai Nagar, Virugambakkam,Chennai",2500,10000.0,"Brokers, kindly excuse us. CMDA approved 5BHK East Facing independent house in AVM Avenue, Virugambakkam with 2BHK on ground floor, 2BHK on 1st floor and separate room and bath room in 2nd floor. The house comes with 2 car covered parking with plenty of two wheeler parking and with corporation water supplemented by borewell water. More About This Property 5 BHK Independent House for sale in Virugambakkam, Chennai. This 5 BHK unit is available in Virugambakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for ...",4,Yes
"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai","2 BHK Flat for sale in Adyar, Chennai",₹70.0 L,"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai",900,7780.0,"2BHK flat of around 900 square feet situated in 2nd floor. It has very good ventilation and is airy. It is walkable by 10 mins to besant nagar beach , 10 mins to thiruvanmiyur bus stand, 7  mins to vannanthurai bus stand. All electrical fittings and woodwork is done and is ready to occupy. It has spacious bed rooms and large hall cum dining. It is located in Gangai Amman Koil Street,  near TM maistry street.  More About This Property Property for sale in Adyar, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no broker...",3,Yes
Khurinji Zinnia,"1 BHK Flat for sale in West Tambaram, Chennai",₹26.0 L,"Meenakshi Avenue, West Tambaram,Chennai",537,4840.0,"Check out this 1 BHK Apartment for sale in Tambaram, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 1 BHK Apartment is perfect for a modern-day lifestyle. Tambaram is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 4. The property's price is Rs 26.0 L. Residents in this property pay Rs 889 towards maintenance. This property is a modern-day abode, with 537 Square feet built-up area. The carpet-area is 3...",2,Yes
"Kottavakkam, Chennai","2 BHK Independent House for sale in Kottavakkam, Chennai",₹90.0 L,"Kottavakkam, Chennai",1292,6960.0,"200M from Kottivakkam Bus Stand. 100M from KFC and mainroad ECR. Patta property. River sand building, strong construction. Can accommodate another floor. Located in prime location More About This Property One of the finest property in Kottavakkam is now available for sale. This is a 2 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 90.0 L. Other charges when you move into this property include maintenance, which is Rs 100. This Independent House is spacious with a built-up area of 1292 Square feet. The carpet area is 950 Square feet....",3,Yes
VGN Imperia Phase 3,"3 BHK Flat for sale in Thiruverkkadu, Chennai",₹54.0 L,"Arjunamedu, Thiruverkkadu,Chennai",1096,4930.0,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Thiruverkadu. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 4 floors. This Apartment is available at a reasonable price of Rs 54.0 L. Maintenance charges in this property is Rs 2192. The built up area of this property is 1096 Square feet. This property is South facing. There are 3 bedrooms and 2 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenitie...",3,No
"Bharathi Nagar, Ayanavaram,Chennai","4 BHK Independent House for sale in Ayanavaram, Chennai",₹2.4 Cr,"Bharathi Nagar, Ayanavaram,Chennai",2300,10430.0,"One of the finest property in Ayanavaram is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 2.4 Cr. This Independent House is spacious with a built-up area of 2300 Square feet. There are 4 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Bharatiya Vidya Bhavan, Chinmaya Vidyalaya School, and CSI Bain Matriculation Higher Secondary School. It is also close to good and reputed hospitals like LIMA MULTISPECIALITY HOSPITAL, Apollo Medical...",4,Yes
"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai","1 BHK Flat for sale in Sembakkam, Chennai",₹29.0 L,"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai",586,4950.0,"Elegance, Quality, Comfort and within your Budget ...*Property located at just 500 meters from Thambaram-Velechery Main Road*Sembakkam Main Bust Stand @ 450 meters distance*Kamarajapuram Main Bus Stand @ 800 meters distance*Rajakilpakkam Main Junction @ 1.5 Km*Camp Road Main Junction @ 3.0Kms*Medavakam Main Junction @ 3.0Kms*Thambaram Main Railway Station @ 4.5Kms*Municipality Children's Park & Garden @ 400 meters distance*CBSE Schools at a distance 0f 1 Km*Market & Shops @ 500 meters distance*Hospitals @ 1Km*Prince College @ 1 Km , SIVET College @ 2.5Kms, MCC College @ 4KmsConcept and project...",2,No
Alliance Galleria Residences,"2 BHK Flat for sale in Old Pallavaram, Chennai",₹90.0 L,"Arulmurugan Nagar, Old Pallavaram,Chennai",1112,8090.0,"One of the finest property in Old Pallavaram is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 14. It is a 14 storeyed building. The price of this Apartment is Rs 92.0 L. This Apartment is spacious with a built-up area of 1112 Square feet. There are 2 bedrooms and 2 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. Health enthusiasts will enjoy the host of special facilities, such as provision for sports facility. Other facilities include Gym, Garden, Sports Facility...",3,No
